device_id,timestamp,amount,channel,country,is_fraud
device-0001,2024-01-02T09:02:53Z,40.11,online,BR,0
device-0001,2024-01-03T19:01:24Z,33.76,online,BR,0
device-0001,2024-01-06T17:33:11Z,40.17,atm,DE,0
device-0001,2024-01-08T13:32:11Z,59.28,online,BR,0
device-0001,2024-01-10T11:39:40Z,34.71,online,JP,0
device-0001,2024-01-16T10:25:08Z,14.76,pos,BR,0
device-0001,2024-01-23T17:06:13Z,31.08,pos,BR,0
device-0001,2024-01-27T23:02:53Z,17.89,atm,BR,0
device-0001,2024-02-02T22:21:06Z,26.1,online,BR,0
device-0001,2024-02-11T09:27:56Z,32.06,pos,BR,0
device-0001,2024-02-16T13:25:27Z,18.02,atm,BR,0
device-0001,2024-02-16T23:50:27Z,50.77,online,BR,0
device-0001,2024-02-18T11:27:50Z,3.41,atm,BR,0
device-0001,2024-02-19T10:24:29Z,12.39,online,BR,0
device-0001,2024-02-20T19:52:26Z,20.65,pos,BR,0
device-0001,2024-03-03T18:03:11Z,29.2,pos,BR,0
device-0001,2024-03-07T11:07:40Z,22.43,pos,BR,0
device-0001,2024-03-12T06:13:56Z,46.09,online,BR,0
device-0001,2024-03-17T12:30:01Z,1.0,online,BR,0
device-0001,2024-03-18T12:09:12Z,34.1,pos,BR,0
device-0001,2024-03-20T01:39:52Z,52.17,pos,BR,0
device-0001,2024-03-20T07:50:01Z,21.64,pos,BR,0
device-0001,2024-03-23T06:06:08Z,22.07,atm,BR,0
device-0001,2024-03-24T14:52:10Z,37.02,atm,BR,0
device-0001,2024-04-01T01:38:18Z,22.92,online,BR,0
device-0001,2024-04-01T05:08:02Z,26.45,pos,BR,0
device-0001,2024-04-03T13:05:09Z,28.55,pos,CA,0
device-0001,2024-04-04T08:53:54Z,33.73,pos,BR,0
device-0001,2024-04-06T13:38:42Z,39.3,online,BR,0
device-0001,2024-04-07T12:37:10Z,44.83,atm,BR,0
device-0001,2024-04-11T10:42:07Z,34.37,online,FR,0
device-0001,2024-04-12T20:51:43Z,6.1,online,BR,0
device-0001,2024-04-13T14:48:34Z,27.91,online,BR,0
device-0001,2024-04-14T20:05:45Z,8.99,atm,BR,0
device-0001,2024-04-16T19:27:32Z,51.62,online,BR,0
device-0001,2024-04-17T22:54:06Z,36.6,pos,BR,0
device-0001,2024-04-27T11:39:50Z,8.41,pos,IN,0
device-0001,2024-05-03T05:25:52Z,44.21,atm,JP,0
device-0001,2024-05-08T05:41:14Z,54.85,pos,BR,0
device-0001,2024-05-08T12:02:17Z,35.51,pos,BR,0
device-0001,2024-05-17T23:21:46Z,51.9,online,BR,0
device-0001,2024-05-23T09:20:32Z,40.46,pos,BR,0
device-0001,2024-05-23T12:14:31Z,18.07,online,BR,0
device-0001,2024-05-29T14:16:53Z,50.74,pos,BR,0
device-0001,2024-06-04T05:02:04Z,57.11,online,BR,0
device-0001,2024-06-04T05:16:21Z,29.35,pos,BR,0
device-0001,2024-06-04T17:57:59Z,8.69,online,BR,1
device-0001,2024-06-04T19:07:36Z,60.98,online,BR,0
